1,A00,Cholera
2,A01,Typhoid and paratyphoid fevers
3,A010,Typhoid fever
4,A011,Paratyphoid fever A
5,A012,Paratyphoid fever B
6,A013,Paratyphoid fever C
7,A014,Paratyphoid fever, unspecified
8,A02,Other salmonella infections
9,A022,Localized salmonella infections
10,A028,Other specified salmonella infections
11,A029,Salmonella infection, unspecified
12,A03,Shigellosis
13,A04,Other bacterial intestinal infections
14,A047,Enterocolitis due to Clostridium difficile
15,A048,Other specified bacterial intestinal infections
16,A049,Bacterial intestinal infection, unspecified
17,A05,Other bacterial foodborne intoxications, not elsewhere classified
18,A06,Amebiasis
19,A068,Amebic infection of other sites
20,A069,Amebiasis, unspecified
21,A07,Other protozoal intestinal diseases
22,A08,Viral and other specified intestinal infections
23,A081,Acute gastroenteropathy due to Norwalk agent and other small round viruses
24,A082,Adenoviral enteritis
25,A083,Other viral enteritis
26,A084,Viral intestinal infection, unspecified
27,A088,Other specified intestinal infections
28,A09,Infectious gastroenteritis and colitis, unspecified
29,A15,Respiratory tuberculosis
30,A17,Tuberculosis of nervous system
31,A178,Other tuberculosis of nervous system
32,A179,Tuberculosis of nervous system, unspecified
33,A18,Tuberculosis of other organs
34,A180,Tuberculosis of bones and joints
35,A181,Tuberculosis of genitourinary system
36,A182,Tuberculous peripheral lymphadenopathy
37,A183,Tuberculosis of intestines, peritoneum and mesenteric glands
38,A184,Tuberculosis of skin and subcutaneous tissue
39,A185,Tuberculosis of eye
40,A186,Tuberculosis of (inner) (middle) ear
41,A187,Tuberculosis of adrenal glands
42,A188,Tuberculosis of other specified organs
43,A19,Miliary tuberculosis
44,A20,Plague
45,A21,Tularemia
46,A22,Anthrax
47,A23,Brucellosis
48,A24,Glanders and melioidosis
49,A25,Rat-bite fevers
50,A26,Erysipeloid
51,A27,Leptospirosis
52,A278,Other forms of leptospirosis
53,A279,Leptospirosis, unspecified
54,A28,Other zoonotic bacterial diseases, not elsewhere classified
55,A30,Leprosy [Hansen's disease]
56,A31,Infection due to other mycobacteria
57,A32,Listeriosis
58,A321,Listerial meningitis and meningoencephalitis
59,A327,Listerial sepsis
60,A328,Other forms of listeriosis
61,A329,Listeriosis, unspecified
62,A33,Tetanus neonatorum
63,A34,Obstetrical tetanus
64,A35,Other tetanus
65,A36,Diphtheria
66,A368,Other diphtheria
67,A369,Diphtheria, unspecified
