1;A00;Cholera
2;A00.0;Cholera due to vibrio cholerae 01, biovar cholerae
3;A00.1;Cholera due to vibrio cholerae 01, biovar eltor
4;A00.9;Cholera, unspecified
5;A01;Typhoid and paratyphoid fevers
6;A01.0;Typhoid fever
7;A01.1;Paratyphoid fever a
8;A01.2;Paratyphoid fever b
9;A01.3;Paratyphoid fever c
10;A01.4;Paratyphoid fever, unspecified
11;A02;Other salmonella infections
12;A02.0;Salmonella enteritis
13;A02.1;Salmonella septicaemia
14;A02.2;Localized salmonella infections
15;A02.8;Other specified salmonella infections
16;A02.9;Salmonella infection, unspecified
17;A03;Shigellosis
18;A03.0;Shigellosis due to shigella dysenteriae
19;A03.1;Shigellosis due to shigella flexneri
20;A03.2;Shigellosis due to shigella boydii
21;A03.3;Shigellosis due to shigella sonnei
22;A03.8;Other shigellosis
23;A03.9;Shigellosis, unspecified
24;A04;Other bacterial intestinal infections
25;A04.0;Enteropathogenic escherichia coli infection
26;A04.1;Enterotoxigenic escherichia coli infection
27;A04.2;Enteroinvasive escherichia coli infection
28;A04.3;Enterohaemorrhagic escherichia coli infection
29;A04.4;Other intestinal escherichia coli infections
30;A04.5;Campylobacter enteritis
31;A04.6;Enteritis due to yersinia enterocolitica
32;A04.7;Enterocolitis due to clostridium difficile
33;A04.8;Other specified bacterial intestinal infections
34;A04.9;Bacterial intestinal infection, unspecified
35;A05;Other bacterial foodborne intoxications, not elsewhere classified
36;A05.0;Foodborne staphylococcal intoxication
37;A05.1;Botulism
38;A05.2;Foodborne clostridium perfringens intoxication
39;A05.3;Foodborne vibrio parahaemolyticus intoxication
40;A05.4;Foodborne bacillus cereus intoxication
41;A05.8;Other specified bacterial foodborne intoxications
42;A05.9;Bacterial foodborne intoxication, unspecified
43;A06;Amoebiasis
44;A06.0;Acute amoebic dysentery
45;A06.1;Chronic intestinal amoebiasis
46;A06.2;Amoebic nondysenteric colitis
47;A06.3;Amoeboma of intestine
48;A06.4;Amoebic liver abscess
49;A06.5;Amoebic lung abscess
50;A06.6;Amoebic brain abscess
51;A06.7;Cutaneous amoebiasis
52;A06.8;Amoebic infection of other sites
53;A06.9;Amoebiasis, unspecified
54;A07;Other protozoal intestinal diseases
55;A07.0;Balantidiasis
56;A07.1;Giardiasis [lambliasis]
57;A07.2;Cryptosporidiosis
58;A07.3;Isosporiasis
59;A07.8;Other specified protozoal intestinal diseases
60;A07.9;Protozoal intestinal disease, unspecified
61;A08;Viral and other specified intestinal infections
62;A08.0;Rotaviral enteritis
63;A08.1;Acute gastroenteropathy due to norwalk agent
64;A08.2;Adenoviral enteritis
65;A08.3;Other viral enteritis
66;A08.4;Viral intestinal infection, unspecified
67;A08.5;Other specified intestinal infections
68;A09;Diarrhoea and gastroenteritis of presumed infectious origin
69;A09.0;Other and unspecified gastroenteritis and colitis of infectious origin
70;A09.9;Gastroenteritis and colitis of unspecified origin
71;A15;Respiratory tuberculosis, bacteriologically and histologically confirmed
72;A15.0;Tb lung confirm sputum microscopy with or without culture
73;A15.1;Tuberculosis of lung, confirmed by culture only
74;A15.2;Tuberculosis of lung, confirmed histologically
75;A15.3;Tuberculosis of lung, confirmed by unspecified means
76;A15.4;Tb intrathoracic lymph nodes confirm bact histologically
77;A15.5;Tuberculosis of larynx, trachea & bronchus conf bact/hist'y
78;A15.6;Tuberculous pleurisy, conf bacteriologically/his'y
79;A15.7;Primary respiratory tb confirm bact and histologically
80;A15.8;Other respiratory tb confirm bact and histologically
81;A15.9;Respiratory tb unspec confirm bact and histologically
82;A16;Respiratory tuberculosis, not confirmed bacteriologically or histologically
83;A16.0;Tuberculosis of lung, bacteriologically & histolog'y neg
84;A16.1;Tuberculosis lung bact and histological examin not done
85;A16.2;Tb lung without mention of bact or histological confirm
86;A16.3;Tb intrathoracic lymph node without bact or hist confirm
87;A16.4;Tb larynx trachea and bronchus without bact or hist confirm
88;A16.5;Tb pleurisy without mention of bact or histological confirm
89;A16.7;Prim respiratory tb without mention of bact or hist confirm
90;A16.8;Oth respiratory tb without mention of bact or hist confirm
91;A16.9;Resp tb unspec without mention of bact or hist confirm
92;A17;Tuberculosis of nervous system
93;A17.0;Tuberculous meningitis
94;A17.1;Meningeal tuberculoma
95;A17.8;Other tuberculosis of nervous system
96;A17.9;Tuberculosis of nervous system unspecified
97;A18;Tuberculosis of other organs
98;A18.0;Tuberculosis of bones and joints
99;A18.1;Tuberculosis of genitourinary system
100;A18.2;Tuberculous peripheral lymphadenopathy
101;A18.3;Tuberculosis of intestines, peritoneum and mesenteric glands
102;A18.4;Tuberculosis of skin and subcutaneous tissue
103;A18.5;Tuberculosis of eye
104;A18.6;Tuberculosis of ear
105;A18.7;Tuberculosis of adrenal glands
106;A18.8;Tuberculosis of other specified organs
107;A19;Miliary tuberculosis
108;A19.0;Acute miliary tuberculosis of a single specified site
109;A19.1;Acute miliary tuberculosis of multiple sites
110;A19.2;Acute miliary tuberculosis, unspecified
111;A19.8;Other miliary tuberculosis
112;A19.9;Miliary tuberculosis, unspecified
113;A20;Plague
114;A20.0;Bubonic plague
115;A20.1;Cellulocutaneous plague
116;A20.2;Pneumonic plague
117;A20.3;Plague meningitis
118;A20.7;Septicaemic plague
119;A20.8;Other forms of plague
120;A20.9;Plague, unspecified
121;A21;Tularaemia
122;A21.0;Ulceroglandular tularaemia
123;A21.1;Oculoglandular tularaemia
124;A21.2;Pulmonary tularaemia
125;A21.3;Gastrointestinal tularaemia
126;A21.7;Generalized tularaemia
127;A21.8;Other forms of tularaemia
128;A21.9;Tularaemia, unspecified
129;A22;Anthrax
130;A22.0;Cutaneous anthrax
131;A22.1;Pulmonary anthrax
132;A22.2;Gastrointestinal anthrax
133;A22.7;Anthrax septicaemia
134;A22.8;Other forms of anthrax
135;A22.9;Anthrax, unspecified
136;A23;Brucellosis
137;A23.0;Brucellosis due to brucella melitensis
138;A23.1;Brucellosis due to brucella abortus
139;A23.2;Brucellosis due to brucella suis
140;A23.3;Brucellosis due to brucella canis
141;A23.8;Other brucellosis
142;A23.9;Brucellosis, unspecified
143;A24;Glanders and melioidosis
144;A24.0;Glanders
145;A24.1;Acute and fulminating melioidosis
146;A24.2;Subacute and chronic melioidosis
147;A24.3;Other melioidosis
148;A24.4;Melioidosis, unspecified
149;A25;Rat-bite fevers
150;A25.0;Spirillosis
151;A25.1;Streptobacillosis
152;A25.9;Rat-bite fever, unspecified
153;A26;Erysipeloid
154;A26.0;Cutaneous erysipeloid
155;A26.7;Erysipelothrix septicaemia
156;A26.8;Other forms of erysipeloid
157;A26.9;Erysipeloid, unspecified
158;A27;Leptospirosis
159;A27.0;Leptospirosis icterohaemorrhagica
160;A27.8;Other forms of leptospirosis
161;A27.9;Leptospirosis, unspecified
162;A28;Other zoonotic bacterial diseases, not elsewhere classified
163;A28.0;Pasteurellosis
164;A28.1;Cat-scratch disease
165;A28.2;Extraintestinal yersiniosis
